customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-10000,Male,0,No,No,51,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,83.02,4234.93,No
CUST-10001,Male,0,Yes,No,14,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card,99.79,1328.6,No
CUST-10002,Male,0,No,No,71,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card,65.57,4633.49,No
CUST-10003,Male,0,No,No,60,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,54.89,3322.43,No
CUST-10004,Female,0,No,Yes,20,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Credit card,29.06,549.78,No
CUST-10005,Male,0,Yes,No,23,No,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card,107.35,2459.04,No
CUST-10006,Female,1,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,97.88,280.6,Yes
CUST-10007,Female,0,No,No,21,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,35.15,837.65,No
CUST-10008,Female,0,Yes,No,52,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card,70.25,3544.93,No
CUST-10009,Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer,67.71,73.4,No
CUST-10010,Male,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card,81.76,2516.89,Yes
CUST-10011,Male,0,Yes,Yes,37,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,114.51,4260.81,No
CUST-10012,Male,1,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,77.14,78.06,No
CUST-10013,Female,1,No,Yes,63,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,73.1,4670.93,Yes
CUST-10014,Male,1,Yes,Yes,59,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card,23.13,1375.57,No
CUST-10015,Female,0,No,Yes,20,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,24.42,523.86,No
CUST-10016,Female,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.11,1177.0,Yes
CUST-10017,Female,0,No,Yes,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.31,1224.85,No
CUST-10018,Male,0,No,No,21,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,93.82,1991.55,No
